<GI> CP011070:1 <COORDINATES> 284202-306099 <STAT> n1_4mer:GRV/n1_4mer:RV = 1.574676; n0_4mer:D = 22.841683; n0_4mer:PS = 27.966595
	[284202:284807:dir] hisH; Imidazole glycerol phosphate synthase subunit HisH
	[284804:285511:dir] hisA; 1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
	[285508:286311:dir] hisF; Evidence 2a : Function of homologous gene experimentally demonstrated in an other organism; PubMedId : 10222209, 4934198; Product type e : enzyme; imidazole glycerol phosphate synthase, catalytic subunit with HisH
	[286334:286663:dir] hisI; Phosphoribosyl-AMP cyclohydrolase
	[286665:287243:rev] Evidence 4 : Homologs of previously reported genes of unknown function; hypothetical protein
	[287430:288668:dir] thrC; Threonine synthase
	[288668:289999:dir] Bacteriocin biosynthesis cyclodehydratase, SagC family
	[290215:295440:dir] Evidence 4 : Homologs of previously reported genes of unknown function; conserved exported protein of unknown function
	[295552:296523:dir] Evidence 4 : Homologs of previously reported genes of unknown function; conserved exported protein of unknown function
	[296555:300367:dir] Peptidase families S8 and S53
	[300411:301016:dir] Rieske (2Fe-2S) domain-containing protein
	[301000:302586:dir] Cytochrome b/b6 family protein
	[302639:303100:dir] Blue (Type1) copper domain-containing protein
	[303097:303447:rev] Evidence 4 : Homologs of previously reported genes of unknown function; hypothetical protein
	[303488:303562:rev] tRNA-Arg
	[303596:304438:rev] 8-oxoguanine DNA-glycosylase (Ogg)
	[304440:305705:rev] Metallo-beta-lactamase domain protein
	[305819:306031:dir] Evidence 4 : Homologs of previously reported genes of unknown function; hypothetical protein
<END>
<GI> CP011070:2 <COORDINATES> 530249-555683 <STAT> n1_4mer:GRV/n1_4mer:RV = 1.829728; n0_4mer:D = 17.902702; n0_4mer:PS = 33.407347
	[530249:530770:rev] Blue (Type1) copper domain-containing protein
	[530865:531218:dir] Evidence 4 : Homologs of previously reported genes of unknown function; hypothetical protein
	[531311:531661:dir] Evidence 4 : Homologs of previously reported genes of unknown function; hypothetical protein
	[531815:532957:dir] dnaG; DNA primase DnaG
	[532966:533649:dir] ribK; Riboflavin kinase
	[533646:534308:rev] Cytidyltransferase-like protein
	[534308:535345:rev] Diphthine synthase
	[535345:536469:rev] N-acetyl-ornithine/N-acetyl-lysine deacetylase
	[536473:537315:rev] lysX; Alpha-aminoadipate--LysW ligase LysX
	[537312:537479:rev] lysW; Alpha-aminoadipate/glutamate carrier protein LysW
	[537502:538686:rev] aksA; Evidence 3 : Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; putative homocitrate synthase AksA
	[538786:539205:rev] lysM; HTH-type transcriptional regulator LysM
	[539192:540373:rev] argD; Acetylornithine aminotransferase
	[540366:541169:rev] argB; Acetylglutamate/acetylaminoadipate kinase
	[541172:542218:rev] argC; N-acetyl-gamma-glutamyl-phosphate/N-acetyl- gamma-aminoadipyl-phosphate reductase
	[542247:543104:rev] Lysine biosynthesis protein LysX
	[543104:543271:rev] lysW; Alpha-aminoadipate/glutamate carrier protein LysW
	[543268:544467:rev] argG; Argininosuccinate synthase
	[544600:545625:dir] Aliphatic sulfonate ABC transporter substrate-binding protein
	[545625:546389:dir] Evidence 4 : Homologs of previously reported genes of unknown function; hypothetical protein
	[546395:547153:dir] Binding-protein-dependent transporter inner membrane component
	[547282:547608:dir] Evidence 5 : No homology to any previously reported sequences; exported protein of unknown function
	[547905:550220:dir] Multicopper oxidase type 3
	[550250:551350:rev] Major facilitator transporter
	[551456:554949:dir] metH; Evidence 2a : Function of homologous gene experimentally demonstrated in an other organism; Product type e : enzyme
	[554946:555683:rev] 5 10-methylenetetrahydrofolate reductase-like protein
<END>
<GI> CP011070:3 <COORDINATES> 726642-746043 <STAT> n1_4mer:GRV/n1_4mer:RV = 1.636577; n0_4mer:D = 16.087062; n0_4mer:PS = 27.713485
	[726642:728462:dir] Evidence 4 : Homologs of previously reported genes of unknown function; hypothetical protein
	[728449:728934:rev] DtxR family iron dependent repressor
	[729047:729397:dir] Evidence 4 : Homologs of previously reported genes of unknown function; hypothetical protein
	[729378:729602:rev] Evidence 5 : No homology to any previously reported sequences; hypothetical protein
	[729436:729927:dir] Evidence 4 : Homologs of previously reported genes of unknown function; conserved exported protein of unknown function
	[729969:730613:dir] Extracellular protein
	[730654:731427:dir] Evidence 4 : Homologs of previously reported genes of unknown function; conserved membrane protein of unknown function
	[731530:731982:rev] Evidence 4 : Homologs of previously reported genes of unknown function; hypothetical protein
	[731985:733754:rev] Oxidoreductase, short chain dehydrogenase/reductase family protein
