<GI> CP000609 AAWI01000000 AAWI01000001 AAWI01000002 AAWI01000003:1 <COORDINATES> 1-18065 <STAT> n1_4mer:GRV/n1_4mer:RV = 1.861269; n0_4mer:D = 29.819852; n0_4mer:PS = 36.391109
	[9:743:dir] PFAM: 6-carboxyhexanoate--CoA ligase; KEGG: mmp:MMP1575 6-carboxyhexanoate--CoA ligase; 6-carboxyhexanoate-CoA ligase
	[752:1864:dir] PFAM: aminotransferase, class I and II; KEGG: mmp:MMP1574 8-amino-7-oxononanoate synthase; 8-amino-7-oxononanoate synthase
	[1939:2499:dir] TIGRFAM: dethiobiotin synthase; KEGG: mmp:MMP1573 dethiobiotin synthetase; dethiobiotin synthase
	[2514:2810:rev] KEGG: mmp:MMP1572 hypothetical protein; conserved hypothetical protein
	[2837:3832:dir] PFAM: nucleoside recognition domain protein; KEGG: mmp:MMP1571 hypothetical protein; nucleoside recognition domain protein
	[3841:4596:dir] TIGRFAM: hydrolase, TatD family; PFAM: TatD-related deoxyribonuclease; KEGG: mmp:MMP1570 TatD-related protein; hydrolase, TatD family
	[4607:4915:dir] PFAM: Protein of unknown function DUF749; KEGG: mmp:MMP1569 hypothetical protein; Protein of unknown function DUF749
	[4890:5426:dir] KEGG: mmp:MMP1568 hypothetical protein; conserved hypothetical protein
	[5510:6469:rev] TIGRFAM: tetrahydromethanopterin S-methyltransferase, MtrH subunit; PFAM: Tetrahydromethanopterin S-methyltransferase, MtrH subunit; KEGG: mmp:MMP1567 N5-methyltetrahydromethanopterin: methyltransferase, subunit H; tetrahydromethanopterin S-methyltransferase, subunit H
	[6494:6718:rev] PFAM: Tetrahydromethanopterin S-methyltransferase, subunit G; KEGG: mmp:MMP1566 N5-methyltetrahydromethanopterin: methyltransferase, subunit G; tetrahydromethanopterin S-methyltransferase, subunit G
	[6723:7484:rev] TIGRFAM: tetrahydromethanopterin S-methyltransferase, subunit A; tetrahydromethanopterin S-methyltransferase, F subunit; PFAM: Tetrahydromethanopterin S-methyltransferase subunit A, N terminal domain protein; KEGG: mmp:MMP1565 N5-methyltetrahydromethanopterin: methyltransferase, subunit A and F related protein; tetrahydromethanopterin S-methyltransferase, subunit A / tetrahydromethanopterin S-methyltransferase, subunit F
	[7501:8220:rev] TIGRFAM: tetrahydromethanopterin S-methyltransferase, subunit A; PFAM: Tetrahydromethanopterin S-methyltransferase subunit A, N terminal domain protein; KEGG: mmp:MMP1564 N5-methyltetrahydromethanopterin: methyltransferase, subunit A; tetrahydromethanopterin S-methyltransferase, subunit A
	[8242:8568:rev] PFAM: Tetrahydromethanopterin S-methyltransferase subunit B; KEGG: mmp:MMP1563 N5-methyltetrahydromethanopterin: methyltransferase, subunit B; tetrahydromethanopterin S-methyltransferase, subunit B
	[8579:9367:rev] TIGRFAM: tetrahydromethanopterin S-methyltransferase, subunit C; PFAM: Tetrahydromethanopterin S-methyltransferase, subunit C; KEGG: mmp:MMP1562 N5-methyltetrahydromethanopterin: methultransferase, subunit C; tetrahydromethanopterin S-methyltransferase, subunit C
	[9406:10113:rev] TIGRFAM: tetrahydromethanopterin S-methyltransferase, subunit D; PFAM: Tetrahydromethanopterin S-methyltransferase, subunit D; KEGG: mmp:MMP1561 N5-methyltetrahydromethanopterin: methyltransferase, subunit D; tetrahydromethanopterin S-methyltransferase, subunit D
