<GI> CP000561:1 <COORDINATES> 1-20395 <STAT> n1_4mer:GRV/n1_4mer:RV = 1.807800; n0_4mer:D = 33.955496; n0_4mer:PS = 39.749056
	[9:308:dir] KEGG: pai:PAE0736 hypothetical protein; conserved hypothetical protein
	[379:1551:dir] KEGG: pai:PAE0737 cell division control protein 6; cell division control protein 6
	[1548:1835:dir] SMART: regulatory protein, ArsR; KEGG: pai:PAE0738 transcriptional regulatory protein (helix-turn-helix), putative; transcriptional regulator, ArsR family
	[1830:3095:rev] PFAM: AAA ATPase, central domain protein; SMART: AAA ATPase; KEGG: pai:PAE0735 replication factor C large subunit; transcriptional regulator, Fis family
	[3095:4075:rev] PFAM: AAA ATPase, central domain protein; ATPase associated with various cellular activities, AAA_5; Replication factor C; SMART: AAA ATPase; KEGG: pai:PAE0734 replication factor C small subunit; Replication factor C
	[4106:4777:rev] PFAM: ribosomal protein S7; KEGG: pai:PAE0733 ribosomal protein S7; ribosomal protein S7
	[4799:5014:rev] KEGG: pai:PAE0732 hypothetical protein; conserved hypothetical protein
	[5083:5307:rev] PFAM: regulatory protein, Crp; KEGG: pai:PAE0731 transcriptional regulatory protein, conjectural; regulatory protein, Crp
	[5329:5727:rev] KEGG: pai:PAE0730 hypothetical protein; conserved hypothetical protein
	[5845:6618:rev] PFAM: KaiC domain protein; KEGG: pai:PAE0729 hypothetical protein; putative circadian clock protein, KaiC
	[6661:7044:rev] TIGRFAM: cytidine deaminase; PFAM: CMP/dCMP deaminase, zinc-binding; KEGG: pai:PAE0794 cytidine deaminase; cytidine deaminase
	[7057:8004:dir] KEGG: pai:PAE0796 hypothetical protein; conserved hypothetical protein
	[8023:8805:dir] PFAM: short-chain dehydrogenase/reductase SDR; KEGG: pai:PAE0797 short chain dehydrogenase; short-chain dehydrogenase/reductase SDR
	[8802:10094:rev] PFAM: glycine hydroxymethyltransferase; aromatic amino acid beta-eliminating lyase/threonine aldolase; KEGG: pai:PAE0798 serine hydroxymethyltransferase; serine hydroxymethyltransferase
	[10125:10853:rev] KEGG: pai:PAE0799 molybdenum cofactor biosynthesis protein (moaC); molybdenum cofactor biosynthesis protein (moaC)
	[10850:11146:rev] KEGG: pai:PAE0800 hypothetical protein; conserved hypothetical protein
	[11209:12267:rev] KEGG: pai:PAE0801 isopentenyl-diphosphate delta-isomerase; TIGRFAM: isopentenyl-diphosphate delta-isomerase, type 2; PFAM: FMN-dependent alpha-hydroxy acid dehydrogenase; isopentenyl-diphosphate delta-isomerase, type 2
	[12267:13001:rev] PFAM: ribosomal protein L2; KEGG: pai:PAE0803 ribosomal protein L2; LSU ribosomal protein L2P
	[13328:13543:dir] KEGG: pai:PAE0804 ribosomal protein S17; SSU ribosomal protein S17E
	[13546:14235:dir] PFAM: peptidylprolyl isomerase, FKBP-type; KEGG: pai:PAE0805 FKBP-type peptidyl-prolyl cis-trans isomerases; peptidylprolyl isomerase, FKBP-type
	[14264:14869:dir] PFAM: 20S proteasome, A and B subunits; KEGG: pai:PAE0807 proteasome beta subunit; proteasome endopeptidase complex, beta component, Threonine peptidase, MEROPS family T01A
	[14872:16107:dir] PFAM: enolase; KEGG: pai:PAE0812 enolase; enolase
	[16157:16564:dir] PFAM: regulatory protein, LysR; KEGG: pai:PAE0813 molybdenum-pterin-binding protein, conjectural; putative transcriptional regulator, ModE family
	[16811:17740:rev] PFAM: Radical SAM domain protein; molybdenum cofactor synthesis domain protein; SMART: Elongator protein 3/MiaB/NifB; KEGG: pai:PAE0814 molybdenum cofactor biosynthesis protein; GTP cyclohydrolase subunit MoaA
	[18142:19248:dir] PFAM: protein kinase; SMART: tyrosine protein kinase; serine/threonine protein kinase; KEGG: pai:PAE0815 serine/threonine protein kinase, putative; protein kinase
	[19286:19735:dir] PFAM: Forkhead-associated protein; KEGG: pai:PAE0816 conserved protein with forkhead-associated (FHA) domain; FHA domain containing protein
