<GI> CP001787 ACUW01000000 ACUW01000001 ACUW01000002 ACUW01000003:1 <COORDINATES> 147375-167769 <STAT> n1_4mer:GRV/n1_4mer:RV = 2.085693; n0_4mer:D = 24.485652; n0_4mer:PS = 35.243330
	[147375:147623:rev] hypothetical protein
	[147877:148875:dir] TIGRFAM: H4MPT-linked C1 transfer pathway protein; PFAM: Hydantoinase/oxoprolinase; KEGG: mja:MJ0840 hypothetical protein; H4MPT-linked C1 transfer pathway protein
	[148935:150182:rev] TIGRFAM: methanogenesis marker protein 10; PFAM: protein of unknown function DUF512; Radical SAM domain protein; KEGG: mja:MJ0841 hypothetical protein; methanogenesis marker protein 10
	[150415:151749:dir] KEGG: mja:MJ0842 methyl coenzyme M reductase I, subunit beta (McrB); TIGRFAM: methyl-coenzyme M reductase, beta subunit; PFAM: Methyl-coenzyme M reductase, beta subunit; methyl-coenzyme M reductase, beta subunit
	[151769:152257:dir] TIGRFAM: methyl-coenzyme M reductase operon protein D; PFAM: Methyl-coenzyme M reductase, protein D; KEGG: mja:MJ0843 methyl coenzyme M reductase I, operon protein D (McrD); methyl-coenzyme M reductase operon protein D
	[152259:152861:dir] TIGRFAM: methyl-coenzyme M reductase I operon protein C; PFAM: Methyl-coenzyme M reductase protein C; KEGG: mja:MJ0844 methyl coenzyme M reductase I, operon protein C (McrC); methyl-coenzyme M reductase I operon protein C
	[152871:153653:dir] KEGG: mfe:Mefer_0937 methyl-coenzyme M reductase, gamma subunit; TIGRFAM: methyl-coenzyme M reductase, gamma subunit; PFAM: Methyl-coenzyme M reductase, gamma subunit; methyl-coenzyme M reductase, gamma subunit
	[153772:155433:dir] KEGG: mja:MJ0846 methyl coenzyme M reductase I, subunit alpha (McrA); TIGRFAM: methyl-coenzyme M reductase, alpha subunit; PFAM: methyl-coenzyme M reductase alpha subunit domain protein; methyl-coenzyme M reductase, alpha subunit
	[155717:156628:dir] KEGG: mja:MJ0847 tetrahydromethanopterin S-methyltransferase subunit E; TIGRFAM: tetrahydromethanopterin S-methyltransferase, subunit E; PFAM: Tetrahydromethanopterin S-methyltransferase, subunit E; tetrahydromethanopterin S-methyltransferase, subunit E
	[156668:157360:dir] KEGG: mja:MJ0848 tetrahydromethanopterin S-methyltransferase subunit D; TIGRFAM: tetrahydromethanopterin S-methyltransferase, subunit D; PFAM: Tetrahydromethanopterin S-methyltransferase subunit D; tetrahydromethanopterin S-methyltransferase, subunit D
	[157415:158215:dir] KEGG: mja:MJ0849 tetrahydromethanopterin S-methyltransferase subunit C; TIGRFAM: tetrahydromethanopterin S-methyltransferase, subunit C; PFAM: Tetrahydromethanopterin S-methyltransferase subunit C; tetrahydromethanopterin S-methyltransferase, subunit C
	[158227:158556:dir] PFAM: Tetrahydromethanopterin S-methyltransferase subunit B; KEGG: mja:MJ0850 tetrahydromethanopterin S-methyltransferase subunit B; Tetrahydromethanopterin S-methyltransferase
	[158588:159313:dir] KEGG: mja:MJ0851 tetrahydromethanopterin S-methyltransferase subunit A; TIGRFAM: tetrahydromethanopterin S-methyltransferase, subunit A; PFAM: Tetrahydromethanopterin S-methyltransferase subunit A domain protein; tetrahydromethanopterin S-methyltransferase, subunit A
	[159374:159580:dir] TIGRFAM: tetrahydromethanopterin S-methyltransferase, F subunit; PFAM: Tetrahydromethanopterin S-methyltransferase, F subunit; KEGG: mja:MJ0852 tetrahydromethanopterin S-methyltransferase subunit F; tetrahydromethanopterin S-methyltransferase, F subunit
