<GI> LR881183:1 <COORDINATES> 36810-60502 <STAT> n1_4mer:GRV/n1_4mer:RV = 2.689441; n0_4mer:D = 46.702740; n0_4mer:PS = 35.913327
	[36810:38276:rev] Dehydrogenase
	[38435:38992:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[39019:40170:dir] NapA-type sodium/hydrogen antiporter
	[40172:41296:dir] Na+/H+ antiporter, napA type (NapA)
	[41352:41966:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved membrane protein of unknown function
	[42064:43377:dir] hisS; Histidine--tRNA ligase
	[43515:43640:rev] Evidence 5 : Unknown function; protein of unknown function
	[43719:44270:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved membrane protein of unknown function
	[44231:44551:rev] Evidence 5 : Unknown function; protein of unknown function
	[44428:44955:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved membrane protein of unknown function
	[44952:45668:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved membrane protein of unknown function
	[45672:46301:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[46466:46801:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[46817:47338:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved membrane protein of unknown function
	[47352:49877:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[49984:50595:rev] Evidence 5 : Unknown function; exported protein of unknown function
	[50785:50907:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[50917:51699:rev] Phospholipase D-related protein
	[51776:51831:dir] snoPyro_CD
	[51834:52130:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[52186:54927:dir] alaS; Alanine--tRNA ligase
	[54962:55327:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[55302:56054:rev] GTP cyclohydrolase 1 type 2 homolog
	[56153:57928:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[58049:58624:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[58636:59163:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[59230:59862:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved membrane protein of unknown function
	[59987:60502:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
<END>
<GI> LR881183:2 <COORDINATES> 130398-151851 <STAT> n1_4mer:GRV/n1_4mer:RV = 1.552832; n0_4mer:D = 32.057089; n0_4mer:PS = 46.677427
	[130398:133265:dir] ABC-type dipeptide/oligopeptide transport system
	[133277:133639:rev] rnp; Ribonuclease P protein component 2
	[133713:134798:dir] Evidence 3 : Putative function from multiple computational evidences; Product type e : enzyme; putative enzyme
	[134923:135702:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved membrane protein of unknown function
	[135739:135891:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[135912:136682:rev] Evidence 5 : Unknown function; protein of unknown function
	[136703:138877:rev] DNA repair protein Rad25
	[138977:142174:rev] ileS; Isoleucine--tRNA ligase
	[142678:143757:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved exported protein of unknown function
	[143881:145299:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved exported protein of unknown function
	[145296:146132:rev] Permease
	[146163:146471:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[146597:148333:dir] Glycoside hydrolase
	[148257:148457:dir] Evidence 5 : Unknown function; protein of unknown function
	[148573:149940:rev] cca; CCA-adding enzyme
	[150014:151333:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[151297:151851:rev] RNA 2',3'-cyclic phosphodiesterase
<END>
<GI> LR881183:3 <COORDINATES> 182947-215196 <STAT> n1_4mer:GRV/n1_4mer:RV = 3.609425; n0_4mer:D = 52.178024; n0_4mer:PS = 33.791549
	[182947:183942:dir] Sugar-phosphate nucleotidyltransferase
	[184045:185136:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[185522:187483:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved membrane protein of unknown function
	[187432:187890:dir] Evidence 5 : Unknown function; protein of unknown function
	[187852:188589:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[189148:189420:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[189479:190132:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[190204:191088:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved membrane protein of unknown function
	[191094:191732:dir] Polysaccharide biosynthesis protein (fragment)
	[191729:193156:rev] Type I phosphodiesterase/nucleotide pyrophosphatase
	[193161:194975:rev] Evidence 5 : Unknown function; membrane protein of unknown function
	[194982:196139:rev] Glycosyl transferase
	[196179:197132:rev] Evidence 3 : Putative function from multiple computational evidences; putative Glycosyltransferase
	[197154:198128:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[198125:198970:rev] Evidence 3 : Putative function from multiple computational evidences; putative UTP--glucose-1-phosphate uridylyltransferase
	[198967:200250:rev] aglM; UDP-glucose 6-dehydrogenase AglM
	[200247:202268:rev] Evidence 3 : Putative function from multiple computational evidences; Product type e : enzyme; putative Phosphatidylinositol N-acetylglucosaminyltransferase
	[201377:201631:rev] Glycosyl hydrolase (fragment)
	[202749:202826:dir] tRNA-Glu
	[202840:202917:dir] tRNA-Ile
	[203700:204083:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[204067:204363:rev] CopG family transcriptional regulator
	[204850:205173:dir] Antitoxin
	[205136:205609:dir] Programmed cell death toxin YdcE-like protein
	[206040:206831:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[206824:207618:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[207707:207886:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[207913:208188:dir] ef1b; Elongation factor 1-beta
	[208223:209452:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved membrane protein of unknown function
	[209510:210535:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[210839:212683:dir] Oxygen-sensitive ribonucleoside-triphosphate reductase
	[212705:213454:dir] Pyruvate-formate lyase-activating enzyme
	[213559:215196:dir] thsB; Thermosome subunit beta
<END>
<GI> LR881183:4 <COORDINATES> 346461-373830 <STAT> n1_4mer:GRV/n1_4mer:RV = 1.994600; n0_4mer:D = 39.069860; n0_4mer:PS = 48.382196
	[346461:347504:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved membrane protein of unknown function
	[347560:347883:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[347846:348337:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[348392:349075:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[349116:349292:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[349319:351223:rev] iorA; Indolepyruvate oxidoreductase subunit IorA
	[351413:351700:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[351715:352041:dir] NTP pyrophosphatase, house-cleaning of non-canonical NTPs
	[352054:352728:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved exported protein of unknown function
	[352792:353430:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved exported protein of unknown function
	[353499:354188:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved exported protein of unknown function
	[354290:354970:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[355082:355783:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved exported protein of unknown function
	[355788:356891:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[356918:357784:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[357813:358715:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[358712:362593:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved exported protein of unknown function
	[362661:363119:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[363187:363396:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[363474:364256:dir] psmA; Proteasome subunit alpha
	[364268:364978:dir] Ribosome maturation protein SDO1 homolog
	[364975:365745:dir] rrp; Exosome complex component Rrp4
	[365745:366491:dir] rrp; Exosome complex component Rrp41
	[366493:367302:dir] rrp; Exosome complex component Rrp42
	[367326:367613:dir] Membrane protein
	[367665:368063:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[368143:368802:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[368799:369323:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[369381:369746:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[369774:370187:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[370174:371190:rev] Homoserine dehydrogenase
	[371229:372074:rev] Protein, conserved, containing CBS domains
	[372157:373365:rev] gcdB; Glutaconyl-CoA decarboxylase subunit beta
	[373372:373830:rev] gcdC; Glutaconyl-CoA decarboxylase subunit gamma
<END>
<GI> LR881183:5 <COORDINATES> 423141-447572 <STAT> n1_4mer:GRV/n1_4mer:RV = 1.993243; n0_4mer:D = 41.572508; n0_4mer:PS = 32.922590
	[423141:423695:dir] rpl; 50S ribosomal protein L6
	[423706:424086:dir] rpl32e; 50S ribosomal protein L32e
	[424097:424543:dir] rpl19e; 50S ribosomal protein L19e
	[424554:425159:dir] rpl; 50S ribosomal protein L18
	[425156:425863:dir] rps; 30S ribosomal protein S5
	[425875:426342:dir] rpl; 50S ribosomal protein L30
	[426354:426800:dir] rpl; 50S ribosomal protein L15
	[426836:428281:dir] secY; Protein translocase subunit SecY
	[428358:428948:dir] adkA; Adenylate kinase
	[428941:429468:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved membrane protein of unknown function
	[429511:429783:dir] rpl34e; 50S ribosomal protein L34e
	[429803:430384:dir] cmk; Cytidylate kinase
	[430398:430649:dir] rpl14e; 50S ribosomal protein L14e
	[430691:433681:rev] Evidence 5 : Unknown function; protein of unknown function
	[433778:434485:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[434534:434755:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[434727:434966:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[434976:435980:dir] truB; Evidence 3 : Putative function from multiple computational evidences; putative tRNA pseudouridine synthase B
	[436259:436450:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved exported protein of unknown function
	[436450:437148:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[437165:437671:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved membrane protein of unknown function
	[437887:438027:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[437967:438674:dir] Evidence 3 : Putative function from multiple computational evidences; Product type e : enzyme; putative enzyme
	[438660:438746:dir] tRNA-Ser
	[438786:439235:dir] rps; 30S ribosomal protein S13
	[439246:439788:dir] rps; 30S ribosomal protein S4
	[439785:440204:dir] rpsK; Evidence 2a : Function from experimental evidences in other organisms; PubMedId : 10094780, 11684020, 12244297, 12809609, 2989779, 6349681, 7000779, 7007074, 7020604; Product type s : structure; 30S ribosomal subunit protein S11
	[440228:441019:dir] rpoD; DNA-directed RNA polymerase subunit D
	[441021:441108:dir] tRNA-Leu
	[441177:441542:dir] rpl18e; 50S ribosomal protein L18e
	[441549:441977:dir] rpl; 50S ribosomal protein L13
	[441989:442396:dir] rps; 30S ribosomal protein S9
	[442435:442632:dir] rpoN; DNA-directed RNA polymerase subunit N
	[442649:442726:dir] tRNA-Pro
	[442779:442952:dir] rpoK; DNA-directed RNA polymerase subunit K
	[442959:443984:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[443998:444603:dir] rps; 30S ribosomal protein S2
	[444644:444731:dir] tRNA-Leu
	[444790:444948:dir] rpl40e; 50S ribosomal protein L40e
	[445048:445377:rev] Transcription regulator, PadR-like family protein
	[445485:445784:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved membrane protein of unknown function
	[445941:446018:rev] tRNA-Arg
	[446089:446538:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[446524:446850:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[446856:447572:rev] Adenine phosphoribosyltransferase
<END>
<GI> LR881183:6 <COORDINATES> 470190-491002 <STAT> n1_4mer:GRV/n1_4mer:RV = 1.526842; n0_4mer:D = 33.466683; n0_4mer:PS = 28.863443
	[470190:473090:rev] leuS; Leucine--tRNA ligase
	[473344:474414:rev] X-pro aminopeptidase
	[474542:475126:dir] rpl15e; 50S ribosomal protein L15e
	[475390:476802:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved exported protein of unknown function
	[476814:478064:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved exported protein of unknown function
	[478075:478545:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved membrane protein of unknown function
	[478775:479641:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[479648:480016:rev] Pilus assembly protein
	[480018:480248:rev] AbrB family transcriptional regulator
	[480353:480808:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[480805:481494:dir] rnp; Ribonuclease P protein component 3
	[481515:482840:rev] trpB; Tryptophan synthase beta chain
	[483134:484453:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved membrane protein of unknown function
	[484570:485571:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved membrane protein of unknown function
	[485568:486014:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
